PLOT_GL,GREEN1,GREEN50,EMER1,EMER50,FLWR1,FLWR50
B1001,121,NA,NA,177,NA,206
B1002,121,NA,NA,198,NA,NA
B1003,NA,NA,NA,183,NA,211
B1004,120,NA,NA,183,NA,207
B1005,121,NA,NA,173,NA,206
B1006,122,NA,NA,192,NA,209
B1007,123,NA,NA,184,NA,208
B1008,115,NA,NA,196,NA,NA
B1009,123,NA,NA,177,NA,206
B1010,124,NA,NA,177,NA,207
B1011,120,NA,NA,183,NA,207
B1012,123,NA,NA,182,NA,206
B1013,121,NA,NA,188,NA,214
B1014,122,NA,NA,196,NA,NA
B1015,123,NA,NA,187,NA,NA
B1016,122,NA,NA,182,NA,NA
B1017,123,NA,NA,180,NA,208
B1018,120,NA,NA,209,NA,NA
B1101,121,NA,NA,185,NA,204
B1102,117,NA,NA,196,NA,NA
B1103,115,NA,NA,176,NA,208
B1104,118,NA,NA,182,NA,204
B1105,119,NA,NA,184,NA,208
B1106,121,NA,NA,169,NA,187
B1107,117,NA,NA,176,NA,204
B1108,121,NA,NA,195,NA,NA
B1109,117,NA,NA,177,NA,207
B1110,116,NA,NA,180,NA,204
B1111,125,NA,NA,210,NA,NA
B1112,120,NA,NA,175,NA,207
B1113,121,NA,NA,187,NA,NA
B1114,121,NA,NA,182,NA,207
B1115,123,NA,NA,175,NA,207
B1116,122,NA,NA,197,NA,NA
B1117,120,NA,NA,185,NA,206
B1118,120,NA,NA,183,NA,NA
B1201,117,NA,NA,197,NA,NA
B1202,121,NA,NA,175,NA,206
B1203,118,NA,NA,186,NA,NA
B1204,125,NA,NA,212,NA,NA
B1205,120,NA,NA,177,NA,208
B1206,118,NA,NA,182,NA,208
B1207,123,NA,NA,176,NA,208
B1208,120,NA,NA,183,NA,209
B1209,124,NA,NA,176,NA,206
B1210,124,NA,NA,182,NA,207
B1211,120,NA,NA,180,NA,208
B1212,121,NA,NA,183,NA,208
B1213,121,NA,NA,196,NA,NA
B1214,124,NA,NA,169,NA,187
B1215,121,NA,NA,175,NA,209
B1216,122,NA,NA,194,NA,NA
B1217,121,NA,NA,193,NA,NA
B1218,120,NA,NA,175,NA,208
B1301,120,NA,NA,192,NA,NA
B1302,121,NA,NA,186,NA,NA
B1303,118,NA,NA,181,NA,207
B1304,118,NA,NA,184,NA,NA
B1305,122,NA,NA,186,NA,NA
B1306,124,NA,NA,182,NA,NA
B1307,121,NA,NA,177,NA,NA
B1308,116,NA,NA,196,NA,NA
B1309,117,NA,NA,183,NA,209
B1310,118,NA,NA,198,NA,NA
B1311,116,NA,NA,182,NA,NA
B1312,115,NA,NA,186,NA,209
B1313,117,NA,NA,197,NA,NA
B1314,117,NA,NA,192,NA,NA
B1315,120,NA,NA,185,NA,NA
B1316,120,NA,NA,177,NA,208
B1317,118,NA,NA,183,NA,NA
B1318,121,NA,NA,176,NA,NA
B1401,116,NA,NA,182,NA,208
B1402,120,NA,NA,175,NA,207
B1403,119,NA,NA,183,NA,NA
B1404,120,NA,NA,184,NA,208
B1405,123,NA,NA,174,NA,209
B1406,116,NA,NA,182,NA,207
B1407,123,NA,NA,209,NA,NA
B1408,117,NA,NA,195,NA,NA
B1409,122,NA,NA,182,NA,208
B1410,120,NA,NA,NA,NA,NA
B1411,117,NA,NA,183,NA,208
B1412,119,NA,NA,175,NA,207
B1413,118,NA,NA,182,NA,207
B1414,120,NA,NA,186,NA,NA
B1415,121,NA,NA,177,NA,208
B1416,122,NA,NA,187,NA,NA
B1417,116,NA,NA,180,NA,205
B1418,117,NA,NA,NA,NA,NA
B1501,122,NA,NA,210,NA,NA
B1502,120,NA,NA,207,NA,209
B1503,120,NA,NA,199,NA,NA
B1504,117,NA,NA,193,NA,NA
B1505,117,NA,NA,183,NA,208
B1506,119,NA,NA,181,NA,NA
B1507,116,NA,NA,177,NA,207
B1508,120,NA,NA,197,NA,NA
B1509,120,NA,NA,197,NA,NA
B1510,117,NA,NA,182,NA,208
B1511,125,NA,NA,183,NA,NA
B1512,116,NA,NA,182,NA,NA
B1513,121,NA,NA,175,NA,207
B1514,121,NA,NA,177,NA,NA
B1515,120,NA,NA,194,NA,NA
B1516,122,NA,NA,183,NA,208
B1517,122,NA,NA,188,NA,NA
B1518,122,NA,NA,193,NA,NA
B1601,121,NA,NA,177,NA,208
B1602,121,NA,NA,173,NA,NA
B1603,118,NA,NA,183,NA,NA
B1604,116,NA,NA,183,NA,207
B1605,116,NA,NA,175,NA,208
B1606,117,NA,NA,191,NA,NA
B1607,118,NA,NA,198,NA,NA
B1608,121,NA,NA,181,NA,208
B1609,123,NA,NA,182,NA,209
B1610,121,NA,NA,176,NA,208
B1611,121,NA,NA,176,NA,209
B1612,116,NA,NA,182,NA,208
B1613,119,NA,NA,183,NA,208
B1614,121,NA,NA,NA,NA,NA
B1615,115,NA,NA,177,NA,NA
B1616,116,NA,NA,196,NA,NA
B1617,NA,NA,NA,177,NA,NA
B1618,120,NA,NA,176,NA,207
B1701,119,NA,NA,193,NA,NA
